ID,%,Título,Estado,Departamento,Estrutura,Marcadores,Data Inicial,Data Final,Parecer Final
76222,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Bacharelado em Medicina Veterinária - Gurupi (UA)",pat_aprovado,Coordenação do Curso de Bacharelado em Medicina Veterinária - Gurupi (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
75202,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Bacharelado Interdisciplinar em Inteligência Artificial (UA)",pat_aprovado,Coordenação do Curso de Bacharelado Interdisciplinar em Inteligência Artificial - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63750,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Ciência da Computação - Palmas (UA)",pat_aprovado,Coordenação do Curso de Ciência da Computação - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63730,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Ciências Biológicas - Porto Nacional (UA)",pat_aprovado,Coordenação do Curso de Ciências Biológicas - Porto Nacional (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63755,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Ciências Contábeis - Palmas (UA)",pat_aprovado,Coordenação do Curso de Ciências Contábeis - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63760,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Ciências Econômicas - Palmas (UA)",pat_aprovado,Coordenação do Curso de Ciências Econômicas - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63880,0.4167,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Ciências Sociais - Porto Nacional (UA)",pat_aprovado,Coordenação do Curso de Ciências Sociais - Porto Nacional (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63895,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Direito - Arraias (UA)",pat_aprovado,Coordenação do Curso de Direito - Arraias (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63770,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Direito - Palmas (UA)",pat_aprovado,Coordenação do Curso de Direito - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
72065,0.5,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Doutorado em Educação - Palmas (UA)",pat_aprovado,Coordenação do Curso de Doutorado em Educação - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
